PCTimestamp,PCTimestampUnit,Timestamp,TimestampUnit,GSRData,GSRUnit,PPGData,PPGUnit
-1,-1,-1,-1,-1,-1,-1,-1
1622464439191,mSecs,1622464439190,mSecs,-43.173092053501179,kOhms,6967.7655677655675,mVolts
1622464439219,mSecs,1622464439190,mSecs,-43.173092053501179,kOhms,7155.3113553113544,mVolts
1622464439224,mSecs,1622464439190,mSecs,-43.173092053501179,kOhms,7342.8571428571422,mVolts
1622464439225,mSecs,1622464439190,mSecs,-43.173092053501179,kOhms,7530.40293040293,mVolts
1622464439226,mSecs,1622464439190,mSecs,-43.173092053501179,kOhms,7717.9487179487178,mVolts
1622464439228,mSecs,1622464439190,mSecs,-43.173092053501179,kOhms,7905.4945054945047,mVolts
1622464439262,mSecs,1622464439190,mSecs,-43.173092053501179,kOhms,8093.0402930402925,mVolts
1622464439263,mSecs,1622464439190,mSecs,-72.296442687747032,kOhms,8280.58608058608,mVolts
1622464439263,mSecs,1622464439730,mSecs,-43.173092053501179,kOhms,8468.131868131868,mVolts
1622464439265,mSecs,1622464439730,mSecs,-43.173092053501179,kOhms,8655.6776556776549,mVolts
1622464439265,mSecs,1622464951730,mSecs,-43.173092053501179,kOhms,8843.2234432234418,mVolts
1622464439266,mSecs,1622464951730,mSecs,-43.173092053501179,kOhms,9030.76923076923,mVolts
1622464439284,mSecs,1622464951730,mSecs,-43.173092053501179,kOhms,9218.3150183150174,mVolts
1622464439284,mSecs,1622464951730,mSecs,-43.173092053501179,kOhms,9405.8608058608061,mVolts
1622464439285,mSecs,1622465463730,mSecs,-43.173092053501179,kOhms,9593.4065934065929,mVolts
1622464439316,mSecs,1622465463730,mSecs,-72.296442687747032,kOhms,9780.95238095238,mVolts
1622464439321,mSecs,1622465463730,mSecs,-43.173092053501179,kOhms,9968.4981684981685,mVolts
1622464439321,mSecs,1622465463730,mSecs,-43.173092053501179,kOhms,10156.043956043955,mVolts
1622464439321,mSecs,1622465975730,mSecs,-43.173092053501179,kOhms,10343.589743589742,mVolts
1622464439354,mSecs,1622465975730,mSecs,-43.173092053501179,kOhms,10531.135531135531,mVolts
1622464439355,mSecs,1622465975730,mSecs,-43.173092053501179,kOhms,10718.681318681318,mVolts
1622464439366,mSecs,1622465975730,mSecs,-72.296442687747032,kOhms,10906.227106227105,mVolts
1622464439366,mSecs,1622466487730,mSecs,-43.173092053501179,kOhms,11093.772893772893,mVolts
1622464439366,mSecs,1622466487730,mSecs,-43.173092053501179,kOhms,11281.31868131868,mVolts
1622464439390,mSecs,1622466487730,mSecs,-43.173092053501179,kOhms,11468.864468864467,mVolts
1622464439394,mSecs,1622466487730,mSecs,-43.173092053501179,kOhms,11656.410256410256,mVolts
1622464439394,mSecs,1622466487730,mSecs,-72.296442687747032,kOhms,11843.956043956043,mVolts
1622464439394,mSecs,1622466999730,mSecs,-43.173092053501179,kOhms,12031.501831501831,mVolts
1622464439429,mSecs,1622466999730,mSecs,-43.173092053501179,kOhms,12219.047619047618,mVolts
1622464439430,mSecs,1622466999730,mSecs,-43.173092053501179,kOhms,12406.593406593405,mVolts
