time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637577172747880141,624610,195628,31,31,3,0.3046113,0.4055699,0,4.923584,5.535156,0,(0.6, 0.8),(0.6, 0.8),(0.0, 0.0),(30.3, -4.1, -33.7),(-30.8, -7.1, -31.5),(30.3, -4.1, -33.7),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637577172747979874,624618,195629,31,31,3,1,1,0,4.978241,5.31871,0,(0.6, 0.8),(0.6, 0.8),(0.0, 0.0),(30.2, -4.1, -33.8),(-30.8, -7.1, -31.5),(30.2, -4.1, -33.8),(-0.2, 0.1, 1.0),(-0.2, 0.1, 1.0),(-0.2, 0.1, 1.0),1,0,0,0,0,0.1296709,0.1296709,False,0,1,
637577172748159395,624626,195630,31,31,3,1,1,0,4.988922,5.354858,0,(0.5, 0.8),(0.6, 0.8),(0.0, 0.0),(30.6, -3.7, -34.8),(-30.5, -7.1, -31.4),(30.6, -3.7, -34.8),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.1528922,0.1528922,False,0,1,
637577172748707927,624635,195631,31,31,3,1,0.8359327,0,5.195541,5.135132,0,(0.5, 0.8),(0.5, 0.8),(0.0, 0.0),(31.1, -4.6, -32.6),(-30.0, -6.5, -32.6),(31.1, -4.6, -32.6),(0.1, 0.2, 1.0),(0.0, 0.1, 1.0),(0.1, 0.2, 1.0),1,0,0,0,0,0.1736275,0,False,0,1,
637577172748767769,624693,195638,31,31,3,1,0.8359327,0,4.995651,5.139908,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(32.8, -4.0, -33.9),(-28.1, -6.6, -31.5),(32.8, -4.0, -33.9),(0.2, 0.1, 1.0),(0.2, 0.2, 1.0),(0.2, 0.1, 1.0),1,0,0,0,0,0.1847556,0,False,0,1,
637577172748837581,624701,195639,31,31,3,1,1,0,5.091705,5.175018,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(32.7, -4.0, -33.9),(-28.3, -6.6, -31.6),(32.6, -4.0, -33.9),(0.2, 0.2, 1.0),(0.2, 0.2, 1.0),(0.2, 0.2, 1.0),1,0,0,0,0,0.1091524,0.1091524,False,0,1,
637577172748907395,624710,195640,31,31,3,0.3427219,1,0,5.165909,5.296143,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(32.5, -4.0, -33.9),(-28.5, -6.4, -32.1),(28.6, -4.1, -33.8),(0.2, 0.2, 1.0),(0.2, 0.2, 1.0),(0.2, 0.2, 1.0),1,0,0,0,0,0,0.04721406,False,0,1,
637577172748997162,624718,195641,31,31,3,0.3427219,1,0,4.994614,5.25473,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(32.3, -3.9, -33.8),(-28.7, -5.9, -33.4),(23.5, -4.2, -33.7),(0.2, 0.2, 1.0),(0.2, 0.2, 1.0),(0.2, 0.2, 1.0),1,0,0,0,0,0,0.0385691,False,0,1,
637577172749281459,624726,195642,31,31,3,0.6643775,1,0,4.984772,5.188126,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(32.2, -4.0, -33.7),(-28.9, -5.9, -33.4),(32.2, -4.0, -33.7),(0.2, 0.2, 1.0),(0.2, 0.2, 1.0),(0.2, 0.2, 1.0),1,0,0,0,0,0,0.1122543,False,0,1,
637577172749301406,624735,195643,31,31,3,0.6643775,1,0,5.029053,5.149948,0,(0.4, 0.8),(0.5, 0.8),(0.0, 0.0),(32.0, -4.0, -33.7),(-29.1, -5.8, -33.6),(32.0, -4.0, -33.7),(0.1, 0.2, 1.0),(0.1, 0.2, 1.0),(0.1, 0.2, 1.0),1,0,0,0,0,0,0.1122543,False,0,1,
