time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637577150601849605,2704978,36197,31,31,3,1,1,0,4.022217,4.322021,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.9),(-29.1, -5.4, -30.7),(11.0, -3.4, -32.1),(0.0, -0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4367451,0.4367451,False,0,0,
637577150601889497,2704987,36198,31,31,3,1,1,0,4.014191,4.338074,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.9),(-29.1, -5.3, -30.7),(1.3, -3.8, -31.8),(0.0, -0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4320082,0.4320082,False,0,0,
637577150601979259,2704995,36199,31,31,3,1,1,0,3.978912,4.319824,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.9),(-29.1, -5.3, -30.7),(-7.4, -4.3, -31.5),(0.0, -0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4283832,0.4283832,False,0,0,
637577150602059041,2705003,36200,31,31,3,1,1,0,4.014023,4.336029,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.9),(-29.1, -5.3, -30.7),(-11.4, -4.5, -31.3),(0.0, -0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.432162,0.432162,False,0,0,
637577150602148801,2705012,36201,31,31,3,1,1,0,4.019974,4.351746,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.1, -5.3, -30.7),(-9.1, -4.3, -31.4),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.43419,0.43419,False,0,0,
637577150602228587,2705020,36202,31,31,3,1,1,0,4.016541,4.343887,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.1, -5.3, -30.8),(-5.9, -4.2, -31.5),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4278534,0.4278534,False,0,0,
637577150602308378,2705028,36203,31,31,3,1,1,0,3.99176,4.338287,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.1, -5.3, -30.8),(3.0, -3.7, -31.9),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4244527,0.4244527,False,0,0,
637577150602393213,2705037,36204,31,31,3,1,1,0,3.966751,4.335907,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.1, -5.3, -30.8),(6.7, -3.6, -32.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4381386,0.4381386,False,0,0,
637577150602472998,2705045,36205,31,31,3,1,1,0,3.962204,4.337189,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.1, -5.3, -30.8),(7.1, -3.5, -32.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4454835,0.4454835,False,0,0,
637577150602562760,2705053,36206,31,31,3,1,1,0,3.968094,4.341888,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.1, -5.3, -30.8),(7.3, -3.5, -32.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4432113,0.4432113,False,0,0,
