timestamp,ticksSince1970 (100ns),objectId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
0.0,16221182603774584,0,109.8662,1.191617,0.05,300.0,,
0.0173397,16221182603814477,0,-0.02695202,1.583732,0.2700703,21.57371,268.8046,3.301586
0.0173397,16221182603864341,1,-0.05289667,0.7357908,0.04408734,33.97958,268.432,337.9694
0.0173397,16221182603864341,2,-0.1010067,0.7571877,0.4244184,28.70665,266.3794,13.56771
0.0173397,16221182603864341,3,-0.02695203,1.583725,0.2700704,23.91502,267.8718,0.0
0.0173397,16221182603864341,4,2.96,1.05,0.4429998,4.708156e-06,63.21941,3.483043e-05
0.0173397,16221182603864341,5,3.015,1.05,-0.0170002,2.204624e-05,210.0,5.616873e-06
0.0173397,16221182603864341,6,2.712,1.05,-0.2880001,1.572607e-05,225.0,-9.07294e-05
0.0173397,16221182603864341,7,2.826,1.05,-0.1740003,4.970105e-05,198.0981,-0.0001678156
0.0173397,16221182603864341,8,2.826,1.05,0.04899979,1.136372e-05,198.098,-1.420911e-05
0.0173397,16221182603864341,9,3.053,1.049999,0.2269998,3.180555e-15,90.0,6.246871e-08
0.0173397,16221182603864341,10,3.145,1.049999,0.4429998,1.29079e-05,90.00002,7.590984e-06
0.0173397,16221182603864341,11,2.749,1.05,0.4400001,2.712756e-06,215.0,-4.56756e-06
0.0173397,16221182603864341,12,2.854,1.049999,0.243,-4.876972e-06,90.0,-1.829845e-05
0.0173397,16221182603864341,13,2.704,1.049999,0.2849998,3.180555e-15,90.0,6.246871e-08
0.0173397,16221182603864341,14,2.712,1.05,-0.06500006,1.707173e-05,225.0,-1.514626e-05
0.0173397,16221182603864341,15,3.015,1.05,-0.2400002,7.605275e-06,210.0,-1.649534e-05
0.0173397,16221182603864341,16,0.847,-0.073,-4.397,0.0,0.0,0.0
0.1173397,16221182604013941,0,-0.02239596,1.582981,0.2676776,21.87319,269.4999,3.604886
0.1173397,16221182604013941,1,-0.05345424,0.7359163,0.0444898,33.89956,268.6011,337.9253
0.1173397,16221182604013941,2,-0.1014702,0.7572703,0.4238017,28.72259,266.3656,13.98905
0.1173397,16221182604013941,3,-0.02239597,1.582977,0.2676777,24.34616,268.597,-9.371092e-07
0.1358364,16221182604153569,0,-0.02203213,1.583023,0.2672934,21.83023,269.5242,3.640181
