time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637577306234117713,1088343,654204,31,31,3,0.3225079,0.1173142,0,4.467667,4.811859,0,(0.7, 0.6),(0.7, 0.7),(0.0, 0.0),(29.4, -3.1, -23.9),(-35.4, -7.0, -25.7),(-8.4, -5.4, -25.0),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),1,0,0,0,0,0,0,False,0,1,
637577306234636328,1088351,654205,31,31,3,0.9394681,0.7600239,0,4.44632,4.968918,0,(0.7, 0.6),(0.7, 0.7),(0.0, 0.0),(29.4, -3.2, -23.9),(-35.3, -7.0, -25.8),(-10.1, -5.5, -25.0),(-0.3, 0.2, 0.9),(-0.3, 0.3, 0.9),(-0.3, 0.3, 0.9),1,0,0,0,0,0,0,False,0,1,
637577306234736061,1088384,654209,31,31,3,0.9976667,0.8087181,0,4.473312,4.764771,0,(0.7, 0.6),(0.7, 0.7),(0.0, 0.0),(29.6, -3.3, -23.8),(-35.2, -7.1, -25.7),(-5.2, -5.3, -24.8),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),1,0,0,0,0,0,0,False,0,1,
637577306234785928,1088401,654211,31,31,3,0.9976667,0.8087181,0,4.363708,4.831345,0,(0.7, 0.6),(0.7, 0.7),(0.0, 0.0),(29.6, -3.3, -23.8),(-35.1, -7.1, -25.7),(-5.9, -5.3, -24.8),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),1,0,0,0,0,0,0,False,0,1,
637577306234865717,1088409,654212,31,31,3,1,1,0,4.360809,4.848694,0,(0.7, 0.6),(0.7, 0.7),(0.0, 0.0),(29.6, -3.2, -23.8),(-35.1, -7.1, -25.6),(-3.4, -5.2, -24.7),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),1,0,0,0,0,0.08869068,0.08869068,False,0,1,
637577306234905607,1088418,654213,31,31,3,1,1,0,4.460785,4.73288,0,(0.7, 0.6),(0.7, 0.7),(0.0, 0.0),(29.6, -3.3, -23.8),(-35.1, -7.1, -25.6),(-1.2, -5.1, -24.6),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),(-0.3, 0.2, 0.9),1,0,0,0,0,0.1417789,0.1417789,False,0,1,
637577306235005338,1088426,654214,31,31,3,1,1,0,4.456589,4.680466,0,(0.7, 0.6),(0.7, 0.7),(0.0, 0.0),(29.7, -3.3, -23.8),(-35.1, -7.1, -25.6),(-1.4, -5.1, -24.6),(-0.2, 0.2, 0.9),(-0.2, 0.2, 0.9),(-0.2, 0.2, 0.9),1,0,0,0,0,0.1702699,0.1702699,False,0,1,
637577306235344433,1088434,654215,31,31,3,1,1,0,4.407654,4.769135,0,(0.7, 0.6),(0.7, 0.7),(0.0, 0.0),(29.7, -3.3, -23.8),(-35.0, -7.1, -25.6),(-4.2, -5.3, -24.7),(-0.2, 0.2, 0.9),(-0.2, 0.2, 0.9),(-0.2, 0.2, 0.9),1,0,0,0,0,0.2270654,0.2270654,False,0,1,
637577306235394301,1088443,654216,31,31,3,1,1,0,4.458145,4.675568,0,(0.7, 0.6),(0.7, 0.7),(0.0, 0.0),(29.7, -3.3, -23.7),(-35.0, -7.1, -25.6),(-3.8, -5.3, -24.7),(-0.2, 0.2, 0.9),(-0.2, 0.2, 0.9),(-0.2, 0.2, 0.9),1,0,0,0,0,0.2575461,0.2575461,False,0,1,
637577306235434192,1088468,654219,31,31,3,1,1,0,4.384048,4.701859,0,(0.6, 0.6),(0.7, 0.7),(0.0, 0.0),(29.8, -3.3, -23.7),(-34.9, -7.1, -25.5),(-2.5, -5.2, -24.6),(-0.2, 0.2, 0.9),(-0.2, 0.2, 0.9),(-0.2, 0.2, 0.9),1,0,0,0,0,0.2651468,0.2651468,False,0,1,
