time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637577290797331201,3839629,532619,31,25,3,0.5153959,0.6983988,0,2.822433,-1,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.4, -1.2, -27.9),(-29.0, -3.0, -24.7),(35.4, -1.2, -27.9),(0.0, -0.5, 0.9),(0.0, 0.0, 0.0),(0.0, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637577290797371090,3839637,532620,31,25,3,0.51603,0.7411,0,3.036438,-1,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.4, -1.2, -27.9),(-29.0, -2.9, -24.7),(35.4, -1.2, -27.9),(0.0, -0.5, 0.9),(0.0, 0.0, 0.0),(0.0, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637577290797470822,3839645,532621,31,25,3,0.51603,0.7411,0,3.204102,-1,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.4, -1.2, -27.9),(-29.0, -2.9, -24.7),(35.4, -1.2, -27.9),(0.0, -0.5, 0.9),(0.0, 0.0, 0.0),(0.0, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637577290797580533,3839654,532622,31,25,3,0.5343528,0.7647275,0,3.519211,-1,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.4, -1.2, -27.9),(-29.1, -2.9, -24.7),(35.4, -1.2, -27.9),(0.1, -0.4, 0.9),(0.0, 0.0, 0.0),(0.1, -0.4, 0.9),1,0,0,0,0,0,0,False,0,0,
637577290797620427,3839662,532623,31,31,3,0.5343528,0.7647275,0,2.991653,4.284302,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.4, -1.3, -27.9),(-29.1, -2.9, -24.7),(2.5, -2.1, -26.3),(0.0, -0.5, 0.9),(0.2, -0.4, 0.9),(0.1, -0.4, 0.9),1,0,0,0,0,0,0,False,0,0,
637577290797710181,3839670,532624,31,31,3,0.5390273,0.8310245,0,3.343491,4.313385,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.3, -1.3, -27.9),(-29.1, -2.9, -24.7),(-3.0, -2.3, -26.0),(0.1, -0.5, 0.9),(0.2, -0.4, 0.9),(0.2, -0.4, 0.9),1,0,0,0,0,0,0,False,0,0,
637577290797799945,3839679,532625,31,31,3,0.5390273,0.8310245,0,3.350388,4.342773,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.3, -1.2, -27.9),(-29.1, -2.9, -24.7),(-3.2, -2.3, -26.0),(0.1, -0.5, 0.9),(0.2, -0.4, 0.9),(0.2, -0.4, 0.9),1,0,0,0,0,0,0,False,0,0,
637577290797869756,3839687,532626,31,31,3,0.5587917,0.833316,0,3.248169,4.349625,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.3, -1.2, -27.9),(-29.1, -2.9, -24.7),(-6.7, -2.4, -25.8),(0.1, -0.5, 0.9),(0.2, -0.3, 0.9),(0.2, -0.4, 0.9),1,0,0,0,0,0,0,False,0,0,
637577290797959515,3839695,532627,31,31,3,0.5587917,0.833316,0,3.3508,4.34343,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.3, -1.2, -27.9),(-29.1, -2.9, -24.7),(-6.0, -2.3, -25.9),(0.1, -0.5, 0.9),(0.2, -0.3, 0.9),(0.2, -0.4, 0.9),1,0,0,0,0,0,0,False,0,0,
637577290798039298,3839704,532628,31,31,3,0.5561122,0.8413657,0,3.361282,4.322266,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(35.3, -1.2, -27.9),(-29.1, -2.9, -24.7),(-8.6, -2.4, -25.7),(0.1, -0.4, 0.9),(0.2, -0.3, 0.9),(0.2, -0.4, 0.9),1,0,0,0,0,0,0,False,0,0,
