time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637577260047654346,1141334,26130,31,31,3,1,1,0,3.44664,3.78627,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.3, 4.5, -35.8),(-29.2, 5.8, -32.3),(2.4, 5.1, -34.0),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 1.0),1,0,0,0,0,0.5338589,0.5338589,False,0,0,
637577260047743624,1141342,26131,31,31,3,1,1,0,3.506973,3.626266,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.3, 4.5, -35.8),(-29.3, 5.7, -32.3),(2.6, 5.1, -34.0),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 1.0),1,0,0,0,0,0.527217,0.527217,False,0,0,
637577260047852742,1141351,26132,31,31,3,1,1,0,3.5634,3.639252,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.3, 4.5, -35.8),(-29.2, 5.7, -32.3),(2.3, 5.1, -34.0),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 1.0),1,0,0,0,0,0.5211283,0.5211283,False,0,0,
637577260047961869,1141367,26134,31,31,3,1,1,0,3.50676,3.607468,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.3, 4.5, -35.8),(-29.2, 5.7, -32.3),(2.7, 5.1, -34.1),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 1.0),1,0,0,0,0,0.5178607,0.5178607,False,0,0,
637577260048070994,1141376,26135,31,31,3,1,1,0,3.47612,3.65184,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.3, 4.5, -35.8),(-29.3, 5.7, -32.3),(2.8, 5.1, -34.1),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 1.0),1,0,0,0,0,0.5262928,0.5262928,False,0,0,
637577260048175146,1141384,26136,31,31,3,1,1,0,3.457886,3.651062,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.2, 4.5, -35.8),(-29.3, 5.8, -32.3),(2.7, 5.1, -34.1),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 1.0),1,0,0,0,0,0.5284065,0.5284065,False,0,0,
637577260048294191,1141392,26137,31,31,3,1,1,0,3.600952,3.587753,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.2, 4.5, -35.8),(-29.3, 5.8, -32.3),(2.3, 5.1, -34.0),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 0.9),1,0,0,0,0,0.5295409,0.5295409,False,0,0,
637577260048403303,1141401,26138,31,31,3,1,1,0,3.594559,3.481705,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.2, 4.5, -35.8),(-29.3, 5.8, -32.3),(2.2, 5.1, -34.0),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 1.0),1,0,0,0,0,0.5324586,0.5324586,False,0,0,
637577260048512423,1141417,26140,31,31,3,1,1,0,3.55423,3.592178,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.2, 4.5, -35.8),(-29.3, 5.8, -32.3),(2.0, 5.1, -34.0),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 1.0),1,0,0,0,0,0.5340245,0.5340245,False,0,0,
637577260048631472,1141426,26141,31,31,3,1,1,0,3.463379,3.601227,0,(0.4, 0.5),(0.5, 0.5),(0.0, 0.0),(34.2, 4.5, -35.8),(-29.3, 5.8, -32.3),(1.9, 5.1, -34.0),(-0.1, -0.3, 0.9),(0.0, -0.3, 1.0),(-0.1, -0.3, 0.9),1,0,0,0,0,0.5258746,0.5258746,False,0,0,
