time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637577263003738585,1436962,61613,24,8,0,0.08054761,0.1946636,0,-1,-1,0,(0.4, 0.6),(-1.0, -1.0),(0.0, 0.0),(35.6, 6.0, -34.2),(-28.0, 6.5, -30.5),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263003827865,1436970,61614,24,8,0,0.1573454,0.002190822,0,-1,-1,0,(0.3, 0.5),(-1.0, -1.0),(0.0, 0.0),(35.6, 6.0, -34.2),(-28.0, 6.5, -30.5),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263003882428,1436978,61615,24,8,0,0.1573454,0.002190822,0,-1,-1,0,(0.6, 0.1),(-1.0, -1.0),(0.0, 0.0),(35.6, 6.0, -34.2),(-28.0, 6.5, -30.5),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263003971708,1436987,61616,24,8,0,0,0,0,-1,-1,0,(0.5, 0.1),(-1.0, -1.0),(0.0, 0.0),(35.6, 6.0, -34.2),(-28.0, 6.5, -30.5),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263004110590,1436995,61617,25,8,0,0,0,0,-1,-1,0,(0.4, 0.5),(-1.0, -1.0),(0.0, 0.0),(35.5, 6.3, -34.1),(-28.0, 6.5, -30.5),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263004165152,1437003,61618,25,24,0,0,0,0,-1,-1,0,(0.4, 0.5),(0.4, 0.4),(0.0, 0.0),(35.3, 7.0, -34.0),(-28.0, 6.5, -30.5),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263004234585,1437012,61619,25,25,0,0,0,0,-1,-1,0,(0.4, 0.5),(0.4, 0.4),(0.0, 0.0),(35.4, 6.9, -33.9),(-28.8, 7.7, -30.3),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263004323870,1437020,61620,25,25,0,0.1431044,0.07830395,0,-1,-1,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.4, 6.7, -33.5),(-29.1, 8.0, -30.1),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263004403234,1437028,61621,25,25,0,0.1431044,0.07830395,0,-1,-1,0,(0.4, 0.4),(0.5, 0.4),(0.0, 0.0),(35.4, 6.7, -33.7),(-29.2, 7.9, -30.1),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263004497463,1437037,61622,25,25,0,0.3421658,0.2996434,0,-1,-1,0,(0.4, 0.4),(0.5, 0.4),(0.0, 0.0),(35.4, 6.6, -33.5),(-29.2, 7.9, -30.2),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263004576834,1437045,61623,25,25,0,0.3421658,0.2996434,0,-1,-1,0,(0.4, 0.4),(0.5, 0.4),(0.0, 0.0),(35.4, 6.6, -33.7),(-29.2, 7.8, -30.2),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637577263004666117,1437053,61624,31,31,3,0.5603648,0.5345482,0,4.894516,4.76503,0,(0.4, 0.4),(0.5, 0.4),(0.0, 0.0),(35.4, 6.4, -33.4),(-29.2, 7.8, -30.2),(-28.9, 7.8, -30.3),(0.0, -0.2, 1.0),(0.0, -0.3, 1.0),(0.0, -0.3, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263004745465,1437062,61625,31,31,3,0.5603648,0.5345482,0,4.890854,4.79599,0,(0.4, 0.4),(0.5, 0.4),(0.0, 0.0),(35.3, 6.4, -33.7),(-29.2, 7.7, -30.2),(35.3, 6.4, -33.7),(0.0, -0.2, 1.0),(0.0, -0.3, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263004829786,1437070,61626,31,31,3,0.7035567,0.7210692,0,4.864059,4.950638,0,(0.4, 0.4),(0.5, 0.4),(0.0, 0.0),(35.3, 6.4, -33.6),(-29.2, 7.7, -30.2),(35.3, 6.4, -33.6),(0.0, -0.3, 1.0),(0.0, -0.3, 1.0),(0.0, -0.3, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263004953785,1437078,61627,31,31,3,0.7035567,0.7210692,0,4.717026,5.059586,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.3, 6.4, -33.8),(-29.2, 7.7, -30.2),(-24.7, 7.6, -30.4),(0.0, -0.3, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263004993465,1437087,61628,31,31,3,0.8032029,0.8044895,0,4.730209,5.021347,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.3, 6.4, -33.9),(-29.2, 7.7, -30.4),(-23.7, 7.6, -30.7),(0.0, -0.3, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005087710,1437095,61629,31,31,3,0.8032029,0.8044895,0,4.809174,5.001297,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.3, 6.3, -33.8),(-29.2, 7.6, -30.3),(-22.0, 7.5, -30.7),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005162108,1437103,61630,31,31,3,0.8690054,0.8739393,0,4.759506,5.045044,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.3, 6.4, -33.9),(-29.2, 7.6, -30.2),(-23.9, 7.5, -30.6),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005241469,1437112,61631,31,31,3,0.8697984,0.8747068,0,4.830185,4.953033,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.3, -33.9),(-29.2, 7.6, -30.2),(-25.1, 7.5, -30.5),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005320830,1437120,61632,31,31,3,0.9092325,0.9232127,0,4.757507,5.025131,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.3, -33.9),(-29.2, 7.5, -30.3),(-22.6, 7.4, -30.6),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005489465,1437128,61633,31,31,3,0.9092325,0.9232127,0,4.819199,5.019623,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.3, -33.9),(-29.3, 7.5, -30.3),(-22.7, 7.4, -30.7),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005504343,1437137,61634,31,31,3,0.9460992,0.9680076,0,4.916077,5.046631,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.3, -33.9),(-29.3, 7.5, -30.3),(-7.5, 7.1, -31.5),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005583704,1437145,61635,31,31,3,0.9460992,0.9680076,0,4.878876,4.994125,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.3, -34.0),(-29.3, 7.5, -30.3),(-4.6, 7.0, -31.7),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005658114,1437153,61636,31,31,3,0.9617116,0.9749203,0,4.893616,5.125076,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.3, -34.0),(-29.3, 7.5, -30.4),(5.2, 6.8, -32.3),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005742427,1437162,61637,31,31,3,0.9617116,0.9749203,0,4.93187,5.027802,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.2, -33.9),(-29.3, 7.5, -30.4),(4.4, 6.8, -32.2),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005831709,1437170,61638,31,31,3,0.9577178,0.9920072,0,4.876617,5.078278,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.2, -34.0),(-29.3, 7.5, -30.3),(-2.1, 7.0, -31.9),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005945792,1437178,61639,31,31,3,0.9577178,0.9920072,0,4.692154,5.0811,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.2, -34.0),(-29.3, 7.5, -30.3),(-1.8, 7.0, -31.9),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637577263005990430,1437187,61640,31,31,3,1,1,0,4.701843,5.10527,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.2, -33.9),(-29.3, 7.5, -30.3),(-5.5, 7.0, -31.6),(0.0, -0.3, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0.03035602,0.03035602,False,0,1,
637577263006079710,1437195,61641,31,31,3,1,1,0,4.813599,5.157288,0,(0.4, 0.5),(0.5, 0.4),(0.0, 0.0),(35.2, 6.2, -33.9),(-29.3, 7.5, -30.3),(-8.1, 7.1, -31.5),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0.02522879,0.02522879,False,0,1,
