timestamp,ticksSince1970 (100ns),objectId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
0.0,16221316943254778,0,109.7958,1.777778,0.05,300.0,,
0.0110937,16221316943294458,0,-0.1631541,1.495266,-0.4267862,359.7884,77.4467,2.49966
0.0110937,16221316943309597,3,5.185603e-05,158.5,-0.3036,0.0,270.0,0.0
0.0110937,16221316943314298,4,0.847,-0.073,-4.397,0.0,0.0,0.0
0.0110937,16221316943314298,5,2.826,1.05,0.04899979,1.088143e-05,198.098,-1.642361e-05
0.0110937,16221316943314298,6,3.145,1.049999,0.4429998,1.289228e-05,90.00002,7.780898e-06
0.0110937,16221316943314298,7,2.96,1.05,0.4429998,4.815874e-06,63.21941,3.49688e-05
0.0110937,16221316943314298,8,3.015,1.05,-0.0170002,2.204624e-05,210.0,5.616873e-06
0.0110937,16221316943314298,9,2.712,1.05,-0.2880001,1.572607e-05,225.0,-9.07294e-05
0.0110937,16221316943314298,10,2.826,1.05,-0.1740003,4.970105e-05,198.0981,-0.0001678156
0.0110937,16221316943314298,11,2.712,1.05,-0.06500006,-2.260888e-06,225.0,-3.297784e-05
0.0110937,16221316943314298,12,3.015,1.05,-0.2400002,1.073374e-05,210.0,-2.30142e-05
0.0110937,16221316943314298,13,2.749,1.05,0.4400001,1.335669e-06,215.0001,-4.982365e-06
0.0110937,16221316943314298,14,2.854,1.049999,0.243,-4.876972e-06,90.0,-1.829845e-05
0.0110937,16221316943314298,15,3.053,1.049999,0.2269998,3.180555e-15,90.0,6.246871e-08
0.0110937,16221316943314298,16,2.704,1.049999,0.2849998,3.180555e-15,90.0,6.246871e-08
0.1110937,16221316943349017,0,-0.1497471,1.496464,-0.4187887,359.8163,78.20284,2.078786
0.1270998,16221316943497820,0,-0.1475951,1.496469,-0.4171567,359.8077,78.52514,2.171913
0.139889,16221316943626780,0,-0.146462,1.496511,-0.4161861,359.8224,78.69028,2.239231
0.1604043,16221316943830141,0,-0.1440425,1.496601,-0.4140404,359.8684,78.95219,2.467948
0.1715554,16221316943939276,0,-0.1427537,1.496751,-0.4127989,359.8817,79.06585,2.604094
0.1824543,16221316944048405,0,-0.1413471,1.496925,-0.4114671,359.8954,79.18449,2.725582
0.1936511,16221316944162483,0,-0.1399322,1.49715,-0.4100743,359.9006,79.29782,2.839758
0.2047404,16221316944271600,0,-0.1384483,1.497385,-0.4086349,359.8735,79.4117,2.916318
0.2160919,16221316944385679,0,-0.1368989,1.497652,-0.4070332,359.8189,79.50716,3.003482
0.2273245,16221316944499764,0,-0.1353007,1.497994,-0.4054356,359.7892,79.58298,3.112434
0.2385196,16221316944613843,0,-0.1336976,1.498209,-0.4037559,359.7416,79.65355,3.21685
0.2497968,16221316944727924,0,-0.1320374,1.49838,-0.4019971,359.6934,79.68559,3.305188
0.2609552,16221316944837060,0,-0.1303199,1.498593,-0.400167,359.6791,79.72068,3.390326
0.2721894,16221316944951122,0,-0.1285833,1.498777,-0.3982656,359.6841,79.76827,3.459536
0.2832893,16221316945060250,0,-0.1267459,1.498944,-0.3963197,359.6878,79.79622,3.532781
0.2945214,16221316945174332,0,-0.1249205,1.499078,-0.3943975,359.6793,79.82089,3.630045
0.3079021,16221316945313217,0,-0.1228971,1.499282,-0.392334,359.6692,79.81841,3.722708
0.3281457,16221316945506671,0,-0.1186565,1.499885,-0.3882408,359.6606,79.80735,3.993654
0.3392112,16221316945620751,0,-0.1165569,1.500115,-0.3861463,359.6638,79.80246,4.105457
0.3504506,16221316945729858,0,-0.1143327,1.500157,-0.3839433,359.6483,79.80833,4.198586
0.3616153,16221316945848926,0,-0.1120743,1.500201,-0.3817048,359.667,79.84145,4.271256
0.3747949,16221316945977870,0,-0.1097144,1.500149,-0.3794251,359.6783,79.83751,4.373075
0.3951011,16221316946181228,0,-0.1048297,1.499895,-0.3748126,359.7619,79.86697,4.611748
0.4061388,16221316946290352,0,-0.1022865,1.499629,-0.3724137,359.8024,79.89275,4.713581
0.4172501,16221316946399471,0,-0.09957606,1.499409,-0.369957,359.8543,79.92444,4.809106
0.4284753,16221316946513559,0,-0.09682864,1.499104,-0.367455,359.9269,79.9584,4.899327
0.4395179,16221316946622685,0,-0.0939545,1.498775,-0.3648436,0.02065172,79.99422,4.982971
0.4505323,16221316946731807,0,-0.09107589,1.498409,-0.3621779,0.1520327,80.05228,5.044684
0.4615552,16221316946840940,0,-0.08809709,1.497967,-0.3594411,0.3014516,80.1057,5.089496
0.4728015,16221316946959969,0,-0.08502202,1.497412,-0.3565395,0.5391916,80.17854,5.094922
0.4851789,16221316947079010,0,-0.08193123,1.496751,-0.3536547,0.8219746,80.2573,5.125573
0.4961413,16221316947188132,0,-0.07886576,1.496052,-0.3506923,1.120586,80.32101,5.155001
0.516778,16221316947391501,0,-0.07263523,1.494318,-0.3444629,1.884075,80.46382,5.26767
0.5278088,16221316947505579,0,-0.06943922,1.493364,-0.3412545,2.289147,80.50665,5.375831
0.5390215,16221316947614697,0,-0.066154,1.492392,-0.337915,2.703883,80.55177,5.468802
0.5501168,16221316947728781,0,-0.06287675,1.491486,-0.33458,3.077358,80.59301,5.569472
0.5612851,16221316947842866,0,-0.05946522,1.490522,-0.3311243,3.481277,80.63346,5.665587
0.5723861,16221316947956949,0,-0.05602818,1.489537,-0.3276472,3.866993,80.69114,5.744907
0.5835401,16221316948061105,0,-0.05258989,1.488454,-0.324101,4.258934,80.74394,5.85648
0.5945171,16221316948185110,0,-0.04910945,1.487376,-0.3205717,4.669426,80.78738,5.97075
0.6056687,16221316948284315,0,-0.0455793,1.486221,-0.3169723,5.104239,80.84144,6.096021
0.6168853,16221316948398396,0,-0.04195802,1.48511,-0.3133121,5.528329,80.89116,6.225634
0.6278499,16221316948621602,0,-0.03837286,1.484009,-0.3096588,5.928894,80.94509,6.339662
0.660305,16221316948894409,0,-0.03452622,1.482973,-0.3059533,6.392073,81.08314,6.337911
0.6831976,16221316949068002,0,-0.01980119,1.4788,-0.2918103,7.976799,81.65207,6.412412
0.6943521,16221316949172172,0,-0.01579665,1.477646,-0.2882273,8.286815,81.91939,6.273906
0.7071422,16221316949306096,0,-0.01178746,1.476453,-0.2846065,8.565909,82.19118,6.094868
0.7274771,16221316949504491,0,-0.003663703,1.474212,-0.2771824,9.104372,82.7371,5.686758
0.738476,16221316949613634,0,0.0006017248,1.473038,-0.2733314,9.348108,82.95166,5.54635
0.7495793,16221316949722748,0,0.004864351,1.471863,-0.2695194,9.576838,83.14904,5.468256
