time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637581554932216003,616179,98748,25,25,0,0.5195508,0.1037277,0,-1,-1,0,(0.5, 0.6),(0.4, 0.7),(0.0, 0.0),(31.3, 0.4, -27.0),(-29.7, -2.0, -25.9),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581554932235949,616221,98753,25,25,0,0.591726,0.1433939,0,-1,-1,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.2, -0.7, -27.4),(-29.5, -3.3, -26.3),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581554932285817,616279,98760,25,25,0,0.6157644,0.1721036,0,-1,-1,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.4, -0.8, -27.5),(-29.8, -3.4, -26.4),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581554932355633,616287,98761,31,31,3,0.666506,0.4301201,0,4.117279,4.221375,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.4, -0.8, -27.5),(-29.8, -3.4, -26.4),(5.7, -1.9, -27.0),(0.1, -0.5, 0.8),(0.1, -0.5, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637581554932415469,616296,98762,31,31,3,0.6963388,0.4864748,0,4.151474,4.15329,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.4, -0.8, -27.5),(-29.8, -3.4, -26.4),(31.4, -0.8, -27.5),(0.1, -0.5, 0.8),(0.1, -0.6, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637581554932465337,616304,98763,31,31,3,0.6963388,0.4864748,0,4.129379,4.057037,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.4, -0.8, -27.5),(-30.0, -3.8, -26.5),(31.4, -0.8, -27.5),(0.1, -0.5, 0.8),(0.2, -0.5, 0.9),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637581554932515208,616312,98764,31,31,3,0.7134995,0.5099653,0,4.202942,4.179382,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.4, -0.8, -27.5),(-30.0, -3.7, -26.4),(-7.6, -2.7, -26.8),(0.1, -0.5, 0.8),(0.2, -0.5, 0.9),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637581554932565069,616321,98765,31,31,3,0.7134995,0.5099653,0,4.21315,4.177567,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.5, -0.8, -27.5),(-30.0, -3.7, -26.4),(24.3, -1.1, -27.4),(0.1, -0.5, 0.8),(0.2, -0.5, 0.9),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637581554932624909,616329,98766,31,31,3,0.7295173,0.5092717,0,4.174423,4.175064,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.5, -0.8, -27.5),(-30.0, -3.7, -26.4),(23.2, -1.2, -27.3),(0.1, -0.5, 0.8),(0.2, -0.5, 0.9),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637581554932754564,616337,98767,31,31,3,0.7295173,0.5092717,0,4.170578,4.177322,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.5, -0.8, -27.4),(-30.0, -3.7, -26.4),(17.4, -1.4, -27.2),(0.1, -0.5, 0.8),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637581554932794463,616346,98768,31,31,3,0.7314792,0.4988949,0,3.913208,4.179733,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.5, -0.7, -27.4),(-30.0, -3.7, -26.4),(14.9, -1.5, -27.2),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637581554932874246,616354,98769,31,31,3,0.7314792,0.4988949,0,4.106812,4.189117,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.5, -0.7, -27.4),(-30.0, -3.7, -26.4),(12.8, -1.6, -27.1),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637581554933028883,616362,98770,31,31,3,0.7386251,0.5062065,0,4.076202,4.179749,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.5, -0.7, -27.4),(-30.0, -3.7, -26.4),(11.2, -1.7, -27.1),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637581554933088726,616371,98771,31,31,3,0.7386251,0.5062065,0,4.106812,4.189835,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(31.5, -0.7, -27.4),(-30.0, -3.7, -26.4),(9.0, -1.8, -27.1),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
