time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637581561624151308,1285412,123066,31,31,3,0.7122183,0.6494393,0,5.084824,5.098511,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.8, -23.1),(-31.4, -3.1, -23.4),(-31.0, -3.1, -23.4),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637581561624824556,1285454,123071,31,31,3,0.9430691,0.9873318,0,5.087173,5.082993,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.9, -22.9),(-31.4, -3.1, -23.4),(-31.4, -3.1, -23.4),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637581561625083863,1285496,123076,31,31,3,0.9597867,0.9936477,0,5.118088,5.094742,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.9, -22.9),(-31.4, -3.1, -23.5),(-31.4, -3.1, -23.5),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637581561625133732,1285554,123083,31,31,3,1,1,0,5.153885,5.172821,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.8, -23.2),(-31.4, -3.1, -23.4),(-31.4, -3.1, -23.4),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.04833918,0.04833918,False,0,0,
637581561625193572,1285571,123085,31,31,3,1,1,0,5.172806,5.109589,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.6, -23.6),(-31.5, -3.1, -23.3),(-31.3, -3.1, -23.3),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.0431092,0.0431092,False,0,0,
637581561625383070,1285579,123086,25,31,3,1,1,0,-1,4.918777,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.3, -24.5),(-31.4, -2.9, -23.8),(-31.4, -2.9, -23.8),(0.0, 0.0, 0.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.03442793,0.03442793,False,0,0,
637581561625622430,1285587,123087,25,25,0,0.7780266,0.8151513,0,-1,-1,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.5, -1.2, -24.3),(-31.4, -2.5, -24.5),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581561625821894,1285596,123088,25,25,0,0.7780266,0.8151513,0,-1,-1,0,(0.6, 0.7),(0.5, 0.7),(0.0, 0.0),(30.0, -3.1, -23.3),(-30.3, -5.0, -26.0),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581561625861787,1285629,123092,24,8,0,0.4316701,0.4410671,0,-1,-1,0,(0.6, 0.7),(-1.0, -1.0),(0.0, 0.0),(30.0, -3.1, -23.3),(-30.3, -5.0, -26.0),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581561625921630,1285637,123093,8,8,0,0.4316701,0.4410671,0,-1,-1,0,(-1.0, -1.0),(-1.0, -1.0),(0.0, 0.0),(30.0, -3.1, -23.3),(-30.3, -5.0, -26.0),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581561625951547,1285646,123094,8,8,0,0.04056549,0,0,-1,-1,0,(-1.0, -1.0),(-1.0, -1.0),(0.0, 0.0),(30.0, -3.1, -23.3),(-30.3, -5.0, -26.0),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0.4031271,0.1262768,0,0,False,0,0,
637581561626634782,1285654,123095,8,8,0,0.04056549,0,0,-1,-1,0,(-1.0, -1.0),(-1.0, -1.0),(0.0, 0.0),(30.0, -3.1, -23.3),(-30.3, -5.0, -26.0),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0.4977061,0.1274309,0,0,False,0,0,
637581561626664701,1285662,123096,8,24,0,0.03035588,0,0,-1,-1,0,(-1.0, -1.0),(0.5, 0.7),(0.0, 0.0),(30.0, -3.1, -23.3),(-30.3, -5.0, -26.0),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0.565462,0.1001303,0,0,False,0,0,
637581561627003794,1285721,123103,25,25,0,0.03035588,0,0,-1,-1,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.7, -1.0, -24.0),(-31.6, -2.7, -23.3),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0.6018249,0.08547868,0,0,False,0,0,
637581561627492487,1285729,123104,25,25,0,0.06506284,0,0,-1,-1,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.7, -1.0, -24.1),(-31.6, -2.5, -23.8),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0.5536337,0.05573718,0,0,False,0,0,
637581561627582246,1285762,123108,25,25,0,0.4949358,0.5813876,0,-1,-1,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.7, -1.1, -24.1),(-31.6, -2.6, -23.9),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581561628105913,1285812,123114,25,25,0,0.4949358,0.5813876,0,-1,-1,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.7, -1.3, -23.9),(-31.5, -2.8, -23.7),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581561628315359,1285837,123117,25,25,0,0.6593268,0.6662753,0,-1,-1,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.4, -23.7),(-31.5, -2.9, -23.5),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581561628913752,1285854,123119,25,25,0,0.8126528,0.8262883,0,-1,-1,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.4, -23.7),(-31.5, -2.9, -23.4),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,0,
637581561629621861,1285904,123125,31,31,3,0.8483706,0.8669106,0,5.105911,5.141861,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.6, -23.3),(-31.5, -2.9, -23.5),(-31.5, -2.9, -23.5),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637581561630245260,1285946,123130,31,31,3,0.8527783,0.9032114,0,5.146576,5.239716,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.6, -1.6, -23.3),(-31.5, -2.9, -23.6),(-31.5, -2.9, -23.6),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637581561630444725,1286079,123146,31,31,3,0.9066288,0.9492159,0,5.104645,5.214859,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.1, -1.8, -23.2),(-31.9, -3.5, -22.3),(-31.9, -3.5, -22.3),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637581561630684087,1286087,123147,31,31,3,0.9259964,0.9583739,0,5.200378,5.235199,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.1, -1.8, -23.2),(-31.9, -3.6, -22.0),(29.2, -1.8, -23.2),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637581561631102969,1286112,123150,31,31,3,1,1,0,5.122314,5.203094,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.1, -1.8, -23.2),(-31.9, -3.6, -22.0),(30.1, -1.8, -23.2),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.01952953,0.01952953,False,0,0,
637581561631242593,1286129,123152,31,31,3,1,1,0,5.046219,5.167328,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.1, -1.8, -23.2),(-31.9, -3.6, -22.0),(30.1, -1.8, -23.2),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.01153393,0.01153393,False,0,0,
637581561632025569,1286171,123157,31,31,3,1,1,0,4.878265,4.913193,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(30.5, -1.4, -23.5),(-31.3, -2.9, -23.1),(30.5, -1.4, -23.5),(0.0, 0.1, 1.0),(0.0, 0.2, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.01054502,0.01054502,False,0,0,
637581561632165203,1286212,123162,31,31,3,0.9780857,0.9999075,0,4.805756,4.635498,0,(0.5, 0.6),(0.5, 0.6),(0.0, 0.0),(30.9, -1.2, -24.0),(-30.9, -2.7, -23.5),(30.9, -1.2, -24.0),(0.1, 0.1, 1.0),(0.0, 0.2, 1.0),(0.1, 0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637581561633032876,1286262,123168,31,31,3,1,1,0,4.740799,4.677734,0,(0.5, 0.6),(0.5, 0.6),(0.0, 0.0),(31.0, -1.3, -23.8),(-30.9, -2.8, -23.4),(31.0, -1.3, -23.8),(0.1, 0.1, 1.0),(0.0, 0.2, 1.0),(0.1, 0.1, 1.0),1,0,0,0,0,0.008119036,0.008119036,False,0,0,
637581561633451757,1286346,123178,31,31,3,1,1,0,4.552307,4.526291,0,(0.5, 0.6),(0.5, 0.6),(0.0, 0.0),(31.0, -1.3, -23.9),(-30.9, -2.8, -23.4),(31.0, -1.3, -23.9),(0.1, 0.1, 1.0),(0.1, 0.2, 1.0),(0.1, 0.1, 1.0),1,0,0,0,0,0.02509467,0.02509467,False,0,0,
637581561633945493,1286362,123180,31,31,3,1,1,0,4.489639,4.474411,0,(0.5, 0.6),(0.5, 0.6),(0.0, 0.0),(31.0, -1.3, -23.9),(-30.9, -2.8, -23.4),(31.0, -1.3, -23.9),(0.1, 0.1, 1.0),(0.1, 0.2, 1.0),(0.1, 0.1, 1.0),1,0,0,0,0,0.05195911,0.05195911,False,0,0,
