PCTimestamp,PCTimestampUnit,Timestamp,TimestampUnit,GSRData,GSRUnit,PPGData,PPGUnit
-1,-1,-1,-1,-1,-1,-1,-1
1622461020324,mSecs,1622461020323,mSecs,222.15789473684208,kOhms,0,mVolts
1622461020335,mSecs,1622461020331,mSecs,222.15789473684208,kOhms,0,mVolts
1622461020335,mSecs,1622461020338,mSecs,222.15789473684208,kOhms,0,mVolts
1622461020336,mSecs,1622461020346,mSecs,222.15789473684208,kOhms,0,mVolts
1622461020363,mSecs,1622461020354,mSecs,222.15789473684208,kOhms,0,mVolts
1622461020368,mSecs,1622461020362,mSecs,222.15789473684208,kOhms,0,mVolts
1622461020373,mSecs,1622461020370,mSecs,222.15789473684208,kOhms,0,mVolts
1622461020374,mSecs,1622461020378,mSecs,222.15789473684208,kOhms,0,mVolts
1622461020382,mSecs,1622461020385,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020383,mSecs,1622461020393,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020386,mSecs,1622461020401,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020422,mSecs,1622461020409,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020422,mSecs,1622461020417,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020424,mSecs,1622461020424,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020450,mSecs,1622461020432,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020466,mSecs,1622461020440,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020472,mSecs,1622461020448,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020489,mSecs,1622461020456,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020508,mSecs,1622461020463,mSecs,244.08411214953276,kOhms,0,mVolts
1622461020570,mSecs,1622461020471,mSecs,243.35888750222858,kOhms,0,mVolts
1622461020570,mSecs,1622461020479,mSecs,243.1854623196152,kOhms,0,mVolts
1622461020572,mSecs,1622461020487,mSecs,243.27214400285158,kOhms,0,mVolts
1622461020577,mSecs,1622461020495,mSecs,243.27214400285158,kOhms,0,mVolts
1622461020587,mSecs,1622461020503,mSecs,243.09884238646484,kOhms,0,mVolts
1622461020592,mSecs,1622461020510,mSecs,243.01228413743993,kOhms,0,mVolts
1622461020597,mSecs,1622461020518,mSecs,243.01228413743993,kOhms,0,mVolts
1622461020670,mSecs,1622461020526,mSecs,243.01228413743993,kOhms,0,mVolts
1622461020672,mSecs,1622461020534,mSecs,242.9257875066738,kOhms,0,mVolts
1622461020672,mSecs,1622461020542,mSecs,242.75297883691982,kOhms,0,mVolts
1622461020673,mSecs,1622461020549,mSecs,242.83935242839354,kOhms,0,mVolts
1622461020678,mSecs,1622461020557,mSecs,242.83935242839354,kOhms,0,mVolts
1622461020678,mSecs,1622461020565,mSecs,242.83935242839354,kOhms,0,mVolts
1622461020688,mSecs,1622461020573,mSecs,242.75297883691982,kOhms,0,mVolts
1622461020692,mSecs,1622461020581,mSecs,242.66666666666669,kOhms,0,mVolts
1622461020697,mSecs,1622461020588,mSecs,242.66666666666669,kOhms,0,mVolts
1622461020700,mSecs,1622461020596,mSecs,242.66666666666669,kOhms,0,mVolts
1622461020700,mSecs,1622461020604,mSecs,242.49422632794455,kOhms,0,mVolts
1622461020701,mSecs,1622461020612,mSecs,242.5804158521415,kOhms,0,mVolts
1622461020712,mSecs,1622461020620,mSecs,242.5804158521415,kOhms,0,mVolts
1622461020712,mSecs,1622461020628,mSecs,242.49422632794455,kOhms,0,mVolts
1622461020713,mSecs,1622461020635,mSecs,242.40809802876933,kOhms,0,mVolts
1622461020717,mSecs,1622461020643,mSecs,242.49422632794455,kOhms,0,mVolts
1622461020720,mSecs,1622461020651,mSecs,242.40809802876933,kOhms,0,mVolts
1622461020720,mSecs,1622461020659,mSecs,242.40809802876933,kOhms,0,mVolts
1622461020721,mSecs,1622461020667,mSecs,242.40809802876933,kOhms,0,mVolts
1622461020739,mSecs,1622461020674,mSecs,242.23602484472053,kOhms,0,mVolts
1622461020742,mSecs,1622461020682,mSecs,242.23602484472053,kOhms,0,mVolts
1622461020742,mSecs,1622461020690,mSecs,242.23602484472053,kOhms,0,mVolts
1622461020743,mSecs,1622461020698,mSecs,242.15007982969667,kOhms,0,mVolts
1622461020744,mSecs,1622461020706,mSecs,242.06419577939354,kOhms,0,mVolts
1622461020752,mSecs,1622461020713,mSecs,241.97837262896653,kOhms,0,mVolts
1622461020752,mSecs,1622461020721,mSecs,242.06419577939354,kOhms,0,mVolts
1622461020752,mSecs,1622461020729,mSecs,241.89261031366297,kOhms,0.73260073260073255,mVolts
1622461020760,mSecs,1622461020737,mSecs,241.97837262896653,kOhms,0,mVolts
1622461020830,mSecs,1622461020745,mSecs,241.89261031366297,kOhms,0.73260073260073255,mVolts
1622461020830,mSecs,1622461020753,mSecs,241.97837262896653,kOhms,0,mVolts
1622461020832,mSecs,1622461020760,mSecs,241.80690876882198,kOhms,0,mVolts
1622461020846,mSecs,1622461020768,mSecs,241.80690876882198,kOhms,0,mVolts
1622461020856,mSecs,1622461020776,mSecs,241.80690876882198,kOhms,0,mVolts
1622461020856,mSecs,1622461020784,mSecs,241.80690876882198,kOhms,0,mVolts
1622461020875,mSecs,1622461020792,mSecs,241.80690876882198,kOhms,0,mVolts
1622461020876,mSecs,1622461020799,mSecs,241.89261031366297,kOhms,0,mVolts
1622461020880,mSecs,1622461020807,mSecs,241.89261031366297,kOhms,0,mVolts
1622461020880,mSecs,1622461020815,mSecs,241.89261031366297,kOhms,0.73260073260073255,mVolts
1622461020881,mSecs,1622461020823,mSecs,241.80690876882198,kOhms,0,mVolts
1622461020887,mSecs,1622461020831,mSecs,241.80690876882198,kOhms,0,mVolts
1622461020891,mSecs,1622461020838,mSecs,241.72126792987424,kOhms,0,mVolts
1622461020895,mSecs,1622461020846,mSecs,241.63568773234203,kOhms,0,mVolts
1622461020895,mSecs,1622461020854,mSecs,241.63568773234203,kOhms,0,mVolts
1622461020900,mSecs,1622461020862,mSecs,241.72126792987424,kOhms,0,mVolts
1622461020902,mSecs,1622461020870,mSecs,241.72126792987424,kOhms,0,mVolts
1622461020906,mSecs,1622461020878,mSecs,241.63568773234203,kOhms,0,mVolts
1622461020911,mSecs,1622461020885,mSecs,241.55016811183864,kOhms,0,mVolts
1622461020914,mSecs,1622461020893,mSecs,241.46470900406865,kOhms,0,mVolts
1622461020915,mSecs,1622461020901,mSecs,241.46470900406865,kOhms,0,mVolts
1622461020917,mSecs,1622461020909,mSecs,241.46470900406865,kOhms,0,mVolts
1622461020918,mSecs,1622461020917,mSecs,241.37931034482762,kOhms,0,mVolts
1622461020920,mSecs,1622461020924,mSecs,241.37931034482762,kOhms,0,mVolts
1622461020957,mSecs,1622461020932,mSecs,241.29397207000179,kOhms,0,mVolts
1622461020957,mSecs,1622461020940,mSecs,241.37931034482762,kOhms,0,mVolts
1622461020961,mSecs,1622461020948,mSecs,241.20869411556816,kOhms,0,mVolts
1622461020962,mSecs,1622461020956,mSecs,241.29397207000179,kOhms,0,mVolts
1622461020965,mSecs,1622461020963,mSecs,241.29397207000179,kOhms,0.73260073260073255,mVolts
1622461020965,mSecs,1622461020971,mSecs,241.37931034482762,kOhms,0,mVolts
1622461020967,mSecs,1622461020979,mSecs,241.37931034482762,kOhms,0,mVolts
1622461020975,mSecs,1622461020987,mSecs,241.20869411556816,kOhms,0,mVolts
1622461021010,mSecs,1622461020995,mSecs,241.20869411556816,kOhms,0.73260073260073255,mVolts
1622461021010,mSecs,1622461021003,mSecs,241.20869411556816,kOhms,0,mVolts
1622461021012,mSecs,1622461021010,mSecs,241.12347641759405,kOhms,0,mVolts
1622461021013,mSecs,1622461021018,mSecs,241.20869411556816,kOhms,0,mVolts
1622461021021,mSecs,1622461021026,mSecs,241.29397207000179,kOhms,0,mVolts
1622461021021,mSecs,1622461021034,mSecs,241.29397207000179,kOhms,0,mVolts
1622461021025,mSecs,1622461021042,mSecs,241.29397207000179,kOhms,0,mVolts
1622461021032,mSecs,1622461021049,mSecs,241.12347641759405,kOhms,0,mVolts
1622461021070,mSecs,1622461021057,mSecs,241.12347641759405,kOhms,0,mVolts
1622461021070,mSecs,1622461021065,mSecs,241.12347641759405,kOhms,0,mVolts
1622461021071,mSecs,1622461021073,mSecs,241.20869411556816,kOhms,0,mVolts
1622461021076,mSecs,1622461021081,mSecs,241.03831891223737,kOhms,0,mVolts
1622461021077,mSecs,1622461021088,mSecs,240.9532215357458,kOhms,0,mVolts
1622461021109,mSecs,1622461021096,mSecs,241.12347641759405,kOhms,0,mVolts
1622461021110,mSecs,1622461021104,mSecs,241.20869411556816,kOhms,0,mVolts
1622461021111,mSecs,1622461021112,mSecs,241.12347641759405,kOhms,0,mVolts
1622461021112,mSecs,1622461021120,mSecs,241.20869411556816,kOhms,0,mVolts
1622461021112,mSecs,1622461021128,mSecs,241.20869411556816,kOhms,0,mVolts
1622461021113,mSecs,1622461021135,mSecs,241.29397207000179,kOhms,0,mVolts
1622461021146,mSecs,1622461021143,mSecs,241.03831891223737,kOhms,0,mVolts
1622461021147,mSecs,1622461021151,mSecs,241.03831891223737,kOhms,0,mVolts
1622461021147,mSecs,1622461021159,mSecs,240.9532215357458,kOhms,0,mVolts
1622461021148,mSecs,1622461021167,mSecs,241.03831891223737,kOhms,0,mVolts
1622461021156,mSecs,1622461021174,mSecs,240.86818422445742,kOhms,0,mVolts
1622461021190,mSecs,1622461021182,mSecs,240.9532215357458,kOhms,0,mVolts
1622461021190,mSecs,1622461021190,mSecs,240.86818422445742,kOhms,0,mVolts
1622461021191,mSecs,1622461021198,mSecs,240.78320691479982,kOhms,0,mVolts
1622461021192,mSecs,1622461021206,mSecs,240.78320691479982,kOhms,0,mVolts
1622461021193,mSecs,1622461021213,mSecs,240.86818422445742,kOhms,0,mVolts
