time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637582298465079055,1956724,218867,31,31,3,1,1,0,3.6427,3.617371,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.5, -20.5),(-27.3, -5.9, -16.4),(32.2, -1.5, -20.5),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.387425,0.387425,False,0,1,
637582298465108978,1956733,218868,31,31,3,1,1,0,3.642014,3.635223,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.5, -20.5),(-27.3, -6.0, -16.3),(27.2, -1.9, -20.1),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3998846,0.3998846,False,0,1,
637582298465168816,1956791,218875,31,31,3,1,1,0,3.642242,3.641129,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.5, -20.5),(-27.3, -5.9, -16.4),(14.0, -2.9, -19.2),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.4052819,0.4052819,False,0,1,
637582298465248604,1956799,218876,31,31,3,1,1,0,3.641022,3.647705,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.5, -20.5),(-27.3, -5.9, -16.4),(0.7, -3.8, -18.3),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.4067796,0.4067796,False,0,1,
637582298465278525,1956808,218877,31,31,3,1,1,0,3.638962,3.648895,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.5, -20.5),(-27.3, -5.9, -16.4),(4.4, -3.6, -18.6),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.4067796,0.4067796,False,0,1,
637582298465338367,1956816,218878,31,31,3,1,1,0,3.634918,3.651505,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.5, -20.5),(-27.3, -5.9, -16.4),(5.7, -3.5, -18.7),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.4091417,0.4091417,False,0,1,
637582298465398207,1956824,218879,31,31,3,1,1,0,3.63118,3.662094,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.5, -20.5),(-27.3, -5.9, -16.4),(5.4, -3.5, -18.6),(-0.1, 0.1, 1.0),(0.0, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.4004616,0.4004616,False,0,1,
637582298465458043,1956833,218880,31,31,3,1,1,0,3.623413,3.664291,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.5, -20.5),(-27.3, -5.9, -16.4),(4.9, -3.5, -18.6),(-0.1, 0.1, 1.0),(0.0, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3958031,0.3958031,False,0,1,
637582298465537833,1956841,218881,31,31,3,1,1,0,3.615784,3.654022,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.5, -20.5),(-27.4, -5.9, -16.4),(4.8, -3.5, -18.6),(-0.1, 0.1, 1.0),(0.0, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.4267147,0.4267147,False,0,1,
637582298465637562,1956849,218882,31,31,3,1,1,0,3.574417,3.644547,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.3, -20.8),(-27.4, -5.8, -16.4),(-6.7, -4.3, -17.9),(-0.1, 0.1, 1.0),(0.0, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.4433042,0.4433042,False,0,1,
637582298465707381,1956858,218883,31,31,3,1,1,0,3.59996,3.473267,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.4, -20.8),(-27.5, -5.2, -18.1),(32.4, -1.4, -20.7),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.4192131,0.4192131,False,0,1,
637582298465787164,1956866,218884,31,31,3,1,1,0,3.597733,3.581116,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.3, -20.9),(-27.5, -5.2, -18.1),(32.5, -1.3, -20.9),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.406284,0.406284,False,0,1,
637582298465956712,1956874,218885,31,31,3,1,1,0,3.597778,3.55159,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.3, -20.9),(-27.5, -5.2, -18.0),(32.5, -1.3, -20.9),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3926155,0.3926155,False,0,1,
637582298466016547,1956883,218886,31,31,3,1,1,0,3.473984,3.557556,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.3, -20.9),(-27.5, -5.2, -18.1),(32.5, -1.3, -20.9),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3852799,0.3852799,False,0,1,
637582298466056441,1956891,218887,31,31,3,1,1,0,3.461365,3.546631,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.4, -1.0, -21.5),(-27.5, -5.1, -18.2),(32.4, -1.0, -21.5),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3823574,0.3823574,False,0,1,
637582298466176126,1956899,218888,31,31,3,1,1,0,3.49913,3.528091,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.1, -21.3),(-27.5, -5.2, -18.1),(32.5, -1.1, -21.3),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.380789,0.380789,False,0,1,
637582298466225993,1956908,218889,31,31,3,1,1,0,3.511917,3.50914,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.2, -21.1),(-27.5, -5.2, -18.0),(32.5, -1.2, -21.1),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3878156,0.3878156,False,0,1,
637582298466325725,1956916,218890,31,31,3,1,1,0,3.505493,3.518997,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.1, -21.3),(-27.5, -5.4, -17.4),(32.5, -1.1, -21.3),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3915867,0.3915867,False,0,1,
637582298466375596,1956924,218891,31,31,3,1,1,0,3.511963,3.542923,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.2, -21.1),(-27.4, -5.5, -16.9),(32.5, -1.2, -21.1),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3797866,0.3797866,False,0,1,
637582298466585030,1956933,218892,31,31,3,1,1,0,3.50975,3.528244,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.1, -21.3),(-27.4, -5.5, -17.3),(32.1, -1.1, -21.3),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3734539,0.3734539,False,0,1,
637582298467163490,1956941,218893,31,31,3,1,1,0,3.50206,3.520721,0,(0.5, 0.5),(0.4, 0.6),(0.0, 0.0),(32.5, -1.0, -21.5),(-27.4, -5.5, -17.1),(32.5, -1.0, -21.5),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3616473,0.3616473,False,0,1,
