timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-06-02-12-17-24,16226362447021909,Tutorial,00:01:24.6037642,17,2,
21-06-02-12-18-55,16226363354431661,HouseAestheticBase,00:01:20.6492892,143,0,
21-06-02-12-20-16,16226364161413250,HouseAestheticSpace,00:00:18.0948767,143,0,
21-06-02-12-20-34,16226364342741004,HouseAestheticPostApo,00:00:26.9944277,13,0,
21-06-02-12-21-07,16226364673191684,HouseAestheticBase,00:08:59.4203505,143,0,
21-06-02-12-30-06,16226370067974004,HouseAestheticSpace,00:01:26.4372189,143,0,
21-06-02-12-31-33,16226370932775048,HouseAestheticPostApo,00:01:37.2848773,13,0,
21-06-02-12-33-16,16226371966565524,HouseAestheticBase,00:00:14.4704356,143,0,
21-06-02-12-33-31,16226372111678791,HouseAestheticSpace,00:00:08.0691164,143,0,
21-06-02-12-33-39,16226372192679129,HouseAestheticPostApo,00:00:57.6864505,13,0,
21-06-02-12-34-42,16226372829994263,HouseAestheticBase,00:00:01.1700641,143,0,
