time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637582291376159029,2292074,433144,31,31,3,1,1,0,4.125061,3.807022,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.8, -24.3),(-30.9, 3.1, -28.2),(1.2, 2.9, -26.1),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2548268,0.2548268,False,0,0,
637582291376228479,2292082,433145,31,31,3,1,1,0,4.125,3.809158,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.8, -24.3),(-30.9, 3.1, -28.2),(0.7, 2.9, -26.1),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2593649,0.2593649,False,0,0,
637582291376317757,2292090,433146,31,31,3,1,1,0,4.117432,3.809372,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.8, -24.3),(-30.9, 3.1, -28.2),(0.2, 2.9, -26.1),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2618004,0.2618004,False,0,0,
637582291376392404,2292099,433147,31,31,3,1,1,0,4.114105,3.809296,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.8, -24.3),(-30.9, 3.1, -28.2),(-0.4, 2.9, -26.2),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2551584,0.2551584,False,0,0,
637582291376476471,2292107,433148,31,31,3,1,1,0,4.110519,3.809402,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.8, -24.3),(-30.9, 3.1, -28.2),(-0.9, 3.0, -26.2),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2515938,0.2515938,False,0,0,
637582291376560809,2292115,433149,31,31,3,1,1,0,4.110352,3.820709,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.8, -24.3),(-30.9, 3.1, -28.2),(-1.8, 3.0, -26.3),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2490157,0.2490157,False,0,0,
637582291376645377,2292123,433150,31,31,3,1,1,0,4.11232,3.82077,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.8, -24.3),(-30.9, 3.1, -28.2),(-2.5, 3.0, -26.3),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2476322,0.2476322,False,0,0,
637582291376724475,2292132,433151,31,31,3,1,1,0,4.115891,3.80896,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.9, -24.3),(-30.9, 3.1, -28.2),(-2.8, 3.0, -26.4),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2524991,0.2524991,False,0,0,
637582291376808807,2292140,433152,31,31,3,1,1,0,4.118698,3.79332,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.9, -24.3),(-30.9, 3.1, -28.2),(-3.0, 3.0, -26.4),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2551111,0.2551111,False,0,0,
637582291376893374,2292148,433153,31,31,3,1,1,0,4.118454,3.793335,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(27.8, 2.9, -24.3),(-30.9, 3.1, -28.2),(-2.7, 3.0, -26.4),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.2545344,0.2545344,False,0,0,
