time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637587622843183352,2197230,526081,31,31,3,1,1,0,4.562958,4.681213,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(4.6, -0.5, -21.8),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.4797084,0.4797084,False,0,0,
637587622843213275,2197238,526082,31,31,3,1,1,0,4.562256,4.681412,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(4.7, -0.5, -21.8),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.4788071,0.4788071,False,0,0,
637587622843233218,2197246,526083,31,31,3,1,1,0,4.583679,4.681519,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(4.4, -0.5, -21.7),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.4741723,0.4741723,False,0,0,
637587622843293057,2197255,526084,31,31,3,1,1,0,4.585403,4.681747,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(4.2, -0.5, -21.7),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.4741723,0.4741723,False,0,0,
637587622843382819,2197263,526085,31,31,3,1,1,0,4.589111,4.709106,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(3.9, -0.5, -21.7),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.4716849,0.4716849,False,0,0,
637587622843462602,2197271,526086,31,31,3,1,1,0,4.589035,4.708389,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(3.6, -0.5, -21.7),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.4596188,0.4596188,False,0,0,
637587622843542391,2197280,526087,31,31,3,1,1,0,4.588058,4.72348,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(3.4, -0.5, -21.7),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4531433,0.4531433,False,0,0,
637587622843632147,2197288,526088,31,31,3,1,1,0,4.592682,4.723099,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(2.9, -0.5, -21.6),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4378267,0.4378267,False,0,0,
637587622843711936,2197296,526089,31,31,3,1,1,0,4.592377,4.722794,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(2.6, -0.5, -21.6),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4296067,0.4296067,False,0,0,
637587622843801696,2197305,526090,31,31,3,1,1,0,4.597504,4.669174,0,(0.5, 0.6),(0.4, 0.5),(0.0, 0.0),(33.1, -0.6, -24.0),(-28.1, -0.3, -19.2),(1.4, -0.5, -21.5),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.436388,0.436388,False,0,0,
