time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637590076033793649,1202207,251720,31,31,3,0.9143096,0.973648,0,3.363556,3.120697,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(1.6, 4.6, -35.5),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.4, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076033863465,1202215,251721,31,31,3,0.9340957,0.9528662,0,3.366425,3.088226,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(1.3, 4.6, -35.6),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076033903351,1202223,251722,31,31,3,0.9340957,0.9528662,0,3.364655,3.09816,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(1.4, 4.6, -35.6),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076033963190,1202232,251723,31,31,3,0.9027421,0.957087,0,3.322189,3.109604,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(1.5, 4.6, -35.5),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076034062936,1202240,251724,31,31,3,0.9027421,0.957087,0,3.286911,3.098129,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(1.8, 4.6, -35.5),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076034122765,1202248,251725,31,31,3,0.9268234,0.9597819,0,3.283249,3.109695,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(2.1, 4.7, -35.5),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076034202559,1202257,251726,31,31,3,0.9268234,0.9597819,0,3.279922,3.098083,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(2.4, 4.7, -35.4),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076034292311,1202265,251727,31,31,3,0.9156295,0.9601539,0,3.283569,3.097473,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(3.8, 4.7, -35.3),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076034372098,1202273,251728,31,31,3,0.9156295,0.9601539,0,3.287033,3.096771,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(4.1, 4.7, -35.3),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076034451885,1202282,251729,31,31,3,0.9080302,0.9582433,0,3.288269,3.096313,0,(0.6, 0.5),(0.6, 0.6),(0.0, 0.0),(29.8, 5.5, -32.8),(-34.4, 3.6, -39.0),(4.2, 4.7, -35.3),(-0.1, -0.3, 0.9),(-0.1, -0.4, 0.9),(-0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
