time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637588488810118304,1389877,4295,31,31,3,0.8416334,0.9576281,0,6.337311,6.330276,0,(0.5, 0.8),(0.5, 0.7),(0.0, 0.0),(32.4, -6.6, -21.9),(-30.9, -6.6, -23.0),(29.1, -6.6, -22.0),(0.0, -0.1, 1.0),(0.1, -0.1, 1.0),(0.0, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488810377610,1389911,4299,31,31,3,0.9211609,0.9863853,0,6.283264,6.391602,0,(0.5, 0.8),(0.5, 0.7),(0.0, 0.0),(32.3, -6.5, -21.9),(-31.0, -6.8, -22.7),(29.9, -6.5, -21.9),(0.0, -0.1, 1.0),(0.0, -0.1, 1.0),(0.0, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488810507260,1389927,4301,31,31,3,0.9660672,0.9968936,0,6.256577,6.37529,0,(0.5, 0.8),(0.5, 0.7),(0.0, 0.0),(32.3, -6.5, -21.9),(-31.1, -6.7, -22.8),(30.0, -6.5, -22.0),(0.0, -0.1, 1.0),(0.0, -0.1, 1.0),(0.0, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488810816435,1389969,4306,31,31,3,0.9643717,0.9952536,0,6.246246,6.432388,0,(0.5, 0.7),(0.5, 0.7),(0.0, 0.0),(32.3, -6.4, -22.1),(-31.1, -6.6, -22.9),(28.0, -6.4, -22.2),(0.0, -0.1, 1.0),(0.0, -0.1, 1.0),(0.0, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488811085714,1389994,4309,31,31,3,0.9731938,0.9983272,0,6.293503,6.377716,0,(0.5, 0.8),(0.4, 0.7),(0.0, 0.0),(33.1, -6.7, -21.9),(-30.0, -6.2, -24.0),(32.6, -6.7, -21.9),(0.2, 0.0, 1.0),(0.2, -0.1, 1.0),(0.2, 0.0, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488811110704,1390027,4313,31,31,3,0.9563799,0.9997809,0,6.253586,6.531876,0,(0.4, 0.8),(0.4, 0.7),(0.0, 0.0),(33.9, -6.7, -22.1),(-29.3, -6.8, -22.6),(32.8, -6.7, -22.1),(0.3, -0.1, 0.9),(0.3, -0.1, 1.0),(0.3, -0.1, 0.9),1,0,0,0,0,0,0,False,0,1,
637588488811210439,1390036,4314,31,31,3,0.9075145,0.963214,0,6.253967,6.405533,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(33.9, -6.7, -22.1),(-29.3, -6.8, -22.6),(33.0, -6.7, -22.1),(0.3, -0.1, 0.9),(0.3, -0.1, 0.9),(0.3, -0.1, 0.9),1,0,0,0,0,0,0,False,0,1,
637588488811389960,1390044,4315,31,31,3,0.847513,0.9357294,0,6.320816,6.49556,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(33.9, -6.8, -22.1),(-29.4, -6.9, -22.6),(33.0, -6.8, -22.1),(0.3, -0.1, 0.9),(0.3, -0.1, 1.0),(0.3, -0.1, 0.9),1,0,0,0,0,0,0,False,0,1,
637588488811449800,1390061,4317,31,31,3,0.847513,0.9357294,0,6.243942,6.399612,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(33.8, -6.7, -22.1),(-29.5, -7.0, -22.6),(32.9, -6.7, -22.1),(0.3, -0.1, 0.9),(0.3, -0.1, 1.0),(0.3, -0.1, 0.9),1,0,0,0,0,0,0,False,0,1,
637588488811509642,1390069,4318,31,31,3,0.8602115,0.9460142,0,6.15004,6.550446,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(33.7, -6.7, -22.0),(-29.6, -7.0, -22.6),(33.3, -6.7, -22.0),(0.3, -0.1, 1.0),(0.3, 0.0, 1.0),(0.3, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488811719081,1390077,4319,31,31,3,0.8567634,0.9421713,0,6.304153,6.495499,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(33.7, -6.7, -22.0),(-29.7, -7.0, -22.6),(33.1, -6.7, -22.0),(0.3, -0.1, 1.0),(0.3, -0.1, 1.0),(0.3, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488812217746,1390086,4320,31,31,3,0.8567634,0.9421713,0,6.249527,6.519943,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(33.6, -6.7, -22.0),(-29.7, -7.0, -22.6),(33.2, -6.7, -22.0),(0.2, -0.1, 1.0),(0.3, 0.0, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488812437158,1390094,4321,31,31,3,0.8393887,0.9367414,0,6.294571,6.576874,0,(0.4, 0.8),(0.4, 0.8),(0.0, 0.0),(33.5, -6.7, -22.0),(-29.8, -7.0, -22.6),(33.2, -6.7, -22.0),(0.2, -0.1, 1.0),(0.3, 0.0, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488812506976,1390169,4330,31,31,3,0.8393887,0.9367414,0,6.312561,6.527939,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(33.0, -6.4, -21.9),(-30.4, -6.8, -23.3),(33.0, -6.4, -21.9),(0.1, -0.1, 1.0),(0.2, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488812935835,1390177,4331,31,31,3,0.8546214,0.9366364,0,6.285583,6.383362,0,(0.5, 0.8),(0.5, 0.8),(0.0, 0.0),(33.0, -6.3, -21.8),(-30.4, -6.7, -23.3),(31.1, -6.4, -21.9),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488813000701,1390186,4332,31,31,3,0.9842883,0.9564406,0,6.250778,6.399445,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(33.0, -6.3, -21.8),(-30.4, -6.5, -23.3),(32.7, -6.3, -21.8),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488813060557,1390227,4337,31,31,3,0.9842883,0.9564406,0,6.381149,6.383987,0,(0.5, 0.7),(0.5, 0.7),(0.0, 0.0),(33.1, -5.8, -22.4),(-30.3, -5.6, -24.0),(33.1, -5.8, -22.4),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
637588488813120400,1390236,4338,31,31,3,1,1,0,6.319473,6.302124,0,(0.5, 0.7),(0.5, 0.7),(0.0, 0.0),(33.1, -5.7, -22.2),(-30.3, -5.3, -24.3),(33.1, -5.7, -22.2),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.04275813,0.04275813,False,0,1,
637588488813220128,1390244,4339,31,31,3,0.9494625,0.9902552,0,6.166992,6.348343,0,(0.5, 0.7),(0.4, 0.7),(0.0, 0.0),(33.1, -5.4, -21.9),(-30.1, -4.9, -24.4),(33.1, -5.4, -21.9),(0.2, -0.1, 1.0),(0.1, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0,0,False,0,1,
