time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637588404791555054,1577907,34706,31,31,3,0.8852407,0.9809636,0,5.562851,5.539673,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 8.8, -30.3),(-31.2, 8.0, -29.7),(1.4, 8.4, -30.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404792564082,1577915,34707,31,31,3,0.8852407,0.9809636,0,5.559891,5.511658,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 8.8, -30.3),(-31.2, 8.0, -29.7),(1.5, 8.4, -30.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404792863902,1578081,34727,31,31,3,0.8762215,0.982492,0,5.584793,5.5336,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 8.8, -30.3),(-31.2, 8.0, -29.7),(0.7, 8.4, -30.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404793463454,1578131,34733,31,31,3,0.8762215,0.982492,0,5.562012,5.542587,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 8.8, -30.3),(-31.2, 8.0, -29.8),(0.5, 8.4, -30.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404793493374,1578140,34734,31,31,3,0.8800054,0.9801454,0,5.608261,5.567978,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 8.8, -30.3),(-31.2, 8.0, -29.8),(0.6, 8.4, -30.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404793563364,1578215,34743,31,31,3,0.8751085,0.9864418,0,5.607651,5.600632,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 9.0, -30.3),(-31.2, 8.2, -29.5),(11.8, 8.8, -30.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404793673247,1578223,34744,31,31,3,0.8751085,0.9864418,0,5.588654,5.60849,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 9.0, -30.3),(-31.2, 8.2, -29.3),(27.7, 9.0, -30.2),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404793753303,1578231,34745,31,31,3,0.8639385,0.947413,0,5.575424,5.615005,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 9.0, -30.3),(-31.2, 8.2, -29.5),(30.5, 9.0, -30.3),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404793893016,1578240,34746,31,31,3,0.8639385,0.947413,0,5.659393,5.634094,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 9.0, -30.3),(-31.2, 8.1, -29.0),(33.0, 9.0, -30.3),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404793932909,1578248,34747,31,31,3,0.8841437,0.9729379,0,5.615494,5.623749,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 9.0, -30.3),(-31.2, 8.2, -29.5),(32.8, 9.0, -30.3),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404793982926,1578256,34748,31,31,3,0.8841437,0.9729379,0,5.608826,5.612686,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.3, 9.0, -30.3),(-31.2, 8.2, -29.5),(32.4, 9.0, -30.3),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
