subject_id,subject_dir,sequencing_file,condition_order,questionnaire_order
0,Enregistrements\S00,Enregistrements\S00\S00_sequencing.csv,"['Aesthetic', 'Narrative', 'Goals']","['demographics', 'FPT', 'gaming', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Goals', 'TPI_Goals']"
1,Enregistrements\S01,Enregistrements\S01\S01_sequencing.csv,"['Narrative', 'Goals', 'Aesthetic']","['demographics', 'FPT', 'gaming', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Goals', 'TPI_Goals', 'DFS_Aesthetic', 'TPI_Aesthetic']"
2,Enregistrements\S02,Enregistrements\S02\S02_sequencing.csv,"['Goals', 'Aesthetic', 'Narrative']","['demographics', 'FPT', 'gaming', 'DFS_Goals', 'TPI_Goals', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Narrative', 'TPI_Narrative']"
3,Enregistrements\S03,Enregistrements\S03\S03_sequencing.csv,"['Goals', 'Narrative', 'Aesthetic']","['demographics', 'FPT', 'gaming', 'DFS_Goals', 'TPI_Goals', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Aesthetic', 'TPI_Aesthetic']"
4,Enregistrements\S04,Enregistrements\S04\S04_sequencing.csv,"['Aesthetic', 'Goals', 'Narrative']","['demographics', 'FPT', 'gaming', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Goals', 'TPI_Goals', 'DFS_Narrative', 'TPI_Narrative']"
5,Enregistrements\S05,Enregistrements\S05\S05_sequencing.csv,"['Narrative', 'Aesthetic', 'Goals']","['demographics', 'FPT', 'gaming', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Goals', 'TPI_Goals']"
6,Enregistrements\S06,Enregistrements\S06\S06_sequencing.csv,"['Aesthetic', 'Narrative', 'Goals']","['demographics', 'FPT', 'gaming', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Goals', 'TPI_Goals']"
7,Enregistrements\S07,Enregistrements\S07\S07_sequencing.csv,"['Narrative', 'Goals', 'Aesthetic']","['demographics', 'FPT', 'gaming', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Goals', 'TPI_Goals', 'DFS_Aesthetic', 'TPI_Aesthetic']"
8,Enregistrements\S08,Enregistrements\S08\S08_sequencing.csv,"['Goals', 'Aesthetic', 'Narrative']","['demographics', 'FPT', 'gaming', 'DFS_Goals', 'TPI_Goals', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Narrative', 'TPI_Narrative']"
9,Enregistrements\S09,Enregistrements\S09\S09_sequencing.csv,"['Goals', 'Narrative', 'Aesthetic']","['demographics', 'FPT', 'gaming', 'DFS_Goals', 'TPI_Goals', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Aesthetic', 'TPI_Aesthetic']"
10,Enregistrements\S10,Enregistrements\S10\S10_sequencing.csv,"['Aesthetic', 'Goals', 'Narrative']","['demographics', 'FPT', 'gaming', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Goals', 'TPI_Goals', 'DFS_Narrative', 'TPI_Narrative']"
11,Enregistrements\S11,Enregistrements\S11\S11_sequencing.csv,"['Narrative', 'Aesthetic', 'Goals']","['demographics', 'FPT', 'gaming', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Goals', 'TPI_Goals']"
12,Enregistrements\S12,Enregistrements\S12\S12_sequencing.csv,"['Aesthetic', 'Narrative', 'Goals']","['demographics', 'FPT', 'gaming', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Goals', 'TPI_Goals']"
13,Enregistrements\S13,Enregistrements\S13\S13_sequencing.csv,"['Narrative', 'Goals', 'Aesthetic']","['demographics', 'FPT', 'gaming', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Goals', 'TPI_Goals', 'DFS_Aesthetic', 'TPI_Aesthetic']"
14,Enregistrements\S14,Enregistrements\S14\S14_sequencing.csv,"['Goals', 'Aesthetic', 'Narrative']","['demographics', 'FPT', 'gaming', 'DFS_Goals', 'TPI_Goals', 'DFS_Aesthetic', 'TPI_Aesthetic', 'DFS_Narrative', 'TPI_Narrative']"
15,Enregistrements\S15,Enregistrements\S15\S15_sequencing.csv,"['Goals', 'Narrative', 'Aesthetic']","['demographics', 'FPT', 'gaming', 'DFS_Goals', 'TPI_Goals', 'DFS_Narrative', 'TPI_Narrative', 'DFS_Aesthetic', 'TPI_Aesthetic']"
