experimental,experimental,experimental,experimental,experimental,experimental,experimental,demographics,demographics,gaming,gaming,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_scores,FPT_scores,FPT_scores,FPT_scores,FPT_scores,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,TPI_items,TPI_items,TPI_items,TPI_items,TPI_items,TPI_items,TPI_scores
profiling_index,subject_id,condition,condition_order,passation_site,FPT_completion,DFS_completion,gender,age,vr_mastery,videogame_practice,S1,S2,S3,S4,S5,A1,A2,A3,A4,A5,N1,N2,N3,N4,N5,C1,C2,C3,C4,C5,G1,G2,G3,G4,G5,social,aesthetic,challenge,narrative,goal,S01,A02,G03,U04,C05,O06,L07,T08,X09,S10,A11,G12,U13,C14,O15,L16,T17,X18,S19,A20,G21,U22,C23,O24,L25,T26,X27,S28,A29,G30,U31,C32,O33,L34,T35,X36,challenge_skill_balance,action_awareness,clear_goals,unambiguous_feedback,concentration,sense_of_control,loss_self_consciousness,time_transformation,autotelic_experience,E1,E2,E3,E4,E5,E6,engagement
0,7,Aesthetic,1,INSA Lyon,2021-05-21 18:12:02,2021-05-27 14:28:43,Homme,20,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,6,5,6,6,5,4,6,6,7,5,4,6,7,6,6,5,7,6,6,6,1,3,2,2,5,77,77,84,80,27,4,3,3,5,6,6,2,3,6,6,5,3,4,6,3,3,7,4,5,6,3,4,6,2,7,3,6,6,5,2,1,6,3,2,6,6,21,19,11,14,24,14,14,19,22,6,5,3,5,6,6,5.16666666666667
1,7,Narrative,2,INSA Lyon,2021-05-21 18:12:02,2021-05-27 14:49:53,Homme,20,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,6,5,6,6,5,4,6,6,7,5,4,6,7,6,6,5,7,6,6,6,1,3,2,2,5,77,77,84,80,27,6,4,5,6,5,6,3,6,6,6,6,5,4,6,4,5,6,5,6,6,5,6,5,5,7,6,6,6,6,6,3,5,5,5,6,6,24,22,21,19,21,20,20,24,23,6,4,4,5,6,6,5.16666666666667
2,7,Goals,3,INSA Lyon,2021-05-21 18:12:02,2021-05-27 15:07:51,Homme,20,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,6,5,6,6,5,4,6,6,7,5,4,6,7,6,6,5,7,6,6,6,1,3,2,2,5,77,77,84,80,27,7,6,7,6,5,6,7,6,7,6,6,6,5,6,5,6,6,7,6,7,7,7,5,5,7,7,7,7,7,7,4,5,5,6,6,7,26,26,27,22,21,21,26,25,28,6,6,5,4,7,7,5.83333333333333
3,10,Narrative,1,INSA Lyon,2021-05-24 10:46:53,2021-05-27 12:39:25,Autre,23,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Régulièrement,5,5,7,6,5,7,7,6,7,6,6,6,6,6,6,5,4,5,3,3,5,4,3,4,5,77,94,50,84,54,3,5,3,5,6,5,7,5,6,5,3,4,3,6,7,6,6,5,4,5,5,3,5,4,7,3,5,4,5,3,3,6,5,7,5,5,16,18,15,14,23,21,27,19,21,5,4,4,3,4,5,4.16666666666667
4,10,Goals,2,INSA Lyon,2021-05-24 10:46:53,2021-05-27 12:56:03,Autre,23,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Régulièrement,5,5,7,6,5,7,7,6,7,6,6,6,6,6,6,5,4,5,3,3,5,4,3,4,5,77,94,50,84,54,5,5,6,4,5,6,7,4,6,5,5,4,3,6,6,7,2,5,6,5,6,6,6,5,6,2,6,6,6,6,4,5,4,7,4,5,22,21,22,17,22,21,27,12,22,6,5,5,4,4,4,4.66666666666667
5,10,Aesthetic,3,INSA Lyon,2021-05-24 10:46:53,2021-05-27 13:12:40,Autre,23,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Régulièrement,5,5,7,6,5,7,7,6,7,6,6,6,6,6,6,5,4,5,3,3,5,4,3,4,5,77,94,50,84,54,6,7,7,5,7,5,5,6,7,6,5,6,6,7,6,7,4,5,6,6,6,7,6,5,7,3,6,6,5,6,6,6,6,6,5,6,24,23,25,24,26,22,25,18,24,6,6,6,5,6,5,5.66666666666667
6,11,Goals,1,INSA Lyon,2021-05-26 14:26:32,2021-05-27 16:36:24,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Occasionnellement,6,4,2,3,3,4,5,5,7,7,5,6,4,4,7,3,1,5,5,3,1,1,4,4,5,44,77,40,70,34,5,4,3,3,5,4,7,7,6,4,3,4,5,3,4,7,7,6,5,5,6,4,6,3,7,5,5,3,5,3,5,5,3,7,6,6,17,17,16,17,19,14,28,25,23,5,5,3,3,4,4,4.0
7,11,Aesthetic,2,INSA Lyon,2021-05-26 14:26:32,2021-05-27 16:48:28,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Occasionnellement,6,4,2,3,3,4,5,5,7,7,5,6,4,4,7,3,1,5,5,3,1,1,4,4,5,44,77,40,70,34,6,5,5,3,5,3,7,7,5,6,5,3,6,6,4,7,7,6,6,6,4,4,5,4,7,5,6,5,4,3,4,6,4,7,5,4,23,20,15,17,22,15,28,24,21,5,3,3,4,5,3,3.83333333333333
8,11,Narrative,3,INSA Lyon,2021-05-26 14:26:32,2021-05-27 17:06:25,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Occasionnellement,6,4,2,3,3,4,5,5,7,7,5,6,4,4,7,3,1,5,5,3,1,1,4,4,5,44,77,40,70,34,6,6,6,6,6,5,5,5,6,6,5,5,6,6,5,5,6,6,5,6,5,5,6,6,5,5,5,5,5,6,5,5,6,6,5,4,22,22,22,22,23,22,21,21,21,5,5,4,4,5,5,4.66666666666667
